hyundai,tiburon,2.0,1999,4,manual(m5),f,19,29,r,subcompact
hyundai,tiburon,2.0,2008,4,manual(m5),f,20,28,r,subcompact
hyundai,tiburon,2.0,2008,4,auto(l4),f,20,27,r,subcompact
hyundai,tiburon,2.7,2008,6,auto(l4),f,17,24,r,subcompact
hyundai,tiburon,2.7,2008,6,manual(m6),f,16,24,r,subcompact
hyundai,tiburon,2.7,2008,6,manual(m5),f,17,24,r,subcompact
jeep,grand cherokee 4wd,3.0,2008,6,auto(l5),4,17,22,d,suv
jeep,grand cherokee 4wd,3.7,2008,6,auto(l5),4,15,19,r,suv
jeep,grand cherokee 4wd,4.0,1999,6,auto(l4),4,15,20,r,suv
jeep,grand cherokee 4wd,4.7,1999,8,auto(l4),4,14,17,r,suv
jeep,grand cherokee 4wd,4.7,2008,8,auto(l5),4,9,12,e,suv
jeep,grand cherokee 4wd,4.7,2008,8,auto(l5),4,14,19,r,suv
jeep,grand cherokee 4wd,5.7,2008,8,auto(l5),4,13,18,r,suv
jeep,grand cherokee 4wd,6.1,2008,8,auto(l5),4,11,14,p,suv
land rover,range rover,4.0,1999,8,auto(l4),4,11,15,p,suv
land rover,range rover,4.2,2008,8,auto(s6),4,12,18,r,suv
land rover,range rover,4.4,2008,8,auto(s6),4,12,18,r,suv
land rover,range rover,4.6,1999,8,auto(l4),4,11,15,p,suv
lincoln,navigator 2wd,5.4,1999,8,auto(l4),r,11,17,r,suv
lincoln,navigator 2wd,5.4,1999,8,auto(l4),r,11,16,p,suv
lincoln,navigator 2wd,5.4,2008,8,auto(l6),r,12,18,r,suv
mercury,mountaineer 4wd,4.0,1999,6,auto(l5),4,14,17,r,suv
mercury,mountaineer 4wd,4.0,2008,6,auto(l5),4,13,19,r,suv
mercury,mountaineer 4wd,4.6,2008,8,auto(l6),4,13,19,r,suv
mercury,mountaineer 4wd,5.0,1999,8,auto(l4),4,13,17,r,suv
nissan,altima,2.4,1999,4,manual(m5),f,21,29,r,compact
nissan,altima,2.4,1999,4,auto(l4),f,19,27,r,compact
nissan,altima,2.5,2008,4,auto(av),f,23,31,r,midsize
nissan,altima,2.5,2008,4,manual(m6),f,23,32,r,midsize
